Iter,XOR,NonXOR,Cost
454,890355,188810,377621
455,890535,188842,377685
456,890712,188874,377749
457,890889,188906,377813
458,891064,188938,377877
459,891237,188970,377941
460,891416,189002,378005
461,891591,189034,378069
462,891764,189066,378133
463,891932,189098,378197
464,892107,189130,378261
465,917688,194632,389265
466,918769,194856,389713
467,919838,195080,390161
468,920760,195272,390545
469,920947,195304,390609
470,921126,195336,390673
471,921306,195368,390737
472,921483,195400,390801
473,921660,195432,390865
474,921835,195464,390929
475,922008,195496,390993
476,922187,195528,391057
477,922362,195560,391121
478,922535,195592,391185
479,922703,195624,391249
480,922878,195656,391313
481,948459,201158,402317
482,949540,201382,402765
483,950609,201606,403213
484,951531,201798,403597
485,951718,201830,403661
486,951897,201862,403725
487,952077,201894,403789
488,952254,201926,403853
489,952431,201958,403917
490,952606,201990,403981
491,952779,202022,404045
492,952958,202054,404109
493,953133,202086,404173
494,953306,202118,404237
495,953474,202150,404301
496,953649,202182,404365
497,979230,207684,415369
498,980311,207908,415817
499,981380,208132,416265
500,982302,208324,416649
501,982489,208356,416713
502,982668,208388,416777
503,982848,208420,416841
504,983025,208452,416905
505,983202,208484,416969
506,983377,208516,417033
507,983550,208548,417097
508,983729,208580,417161
509,983904,208612,417225
510,984077,208644,417289
511,984245,208676,417353
512,984420,208708,417417
513,1010001,214210,428421
514,1011082,214434,428869
515,1012151,214658,429317
516,1013073,214850,429701
517,1013260,214882,429765
518,1013439,214914,429829
519,1013619,214946,429893
520,1013796,214978,429957
521,1013973,215010,430021
522,1014148,215042,430085
523,1014321,215074,430149
524,1014500,215106,430213
525,1014675,215138,430277
526,1014848,215170,430341
527,1015016,215202,430405
528,1015191,215234,430469
529,1040772,220736,441473
530,1041853,220960,441921
531,1042922,221184,442369
532,1043844,221376,442753
533,1044031,221408,442817
534,1044210,221440,442881
535,1044390,221472,442945
536,1044567,221504,443009
537,1044744,221536,443073
538,1044919,221568,443137
539,1045092,221600,443201
540,1045271,221632,443265
541,1045446,221664,443329
542,1045619,221696,443393
543,1045787,221728,443457
544,1045962,221760,443521
545,1071543,227262,454525
546,1072624,227486,454973
547,1073693,227710,455421
548,1074615,227902,455805
549,1074802,227934,455869
550,1074981,227966,455933
551,1075161,227998,455997
552,1075338,228030,456061
553,1075515,228062,456125
554,1075690,228094,456189
555,1075863,228126,456253
556,1076042,228158,456317
557,1076217,228190,456381
558,1076390,228222,456445
559,1076558,228254,456509
560,1076733,228286,456573
561,1102314,233788,467577
562,1103395,234012,468025
563,1104464,234236,468473
564,1105386,234428,468857
565,1105573,234460,468921
566,1105752,234492,468985
567,1105932,234524,469049
568,1106109,234556,469113
569,1106286,234588,469177
570,1106461,234620,469241
571,1106634,234652,469305
572,1106813,234684,469369
573,1106988,234716,469433
574,1107161,234748,469497
575,1107329,234780,469561
576,1107504,234812,469625
577,1133085,240314,480629
578,1134166,240538,481077
