Iter,XOR,NonXOR,Cost
911,774362,155466,310948
912,774447,155482,310980
913,774621,155520,311056
914,774677,155528,311072
915,774733,155536,311088
916,774789,155544,311104
917,774963,155582,311180
918,775019,155590,311196
919,775075,155598,311212
920,775131,155606,311228
921,775305,155644,311304
922,775361,155652,311320
923,775417,155660,311336
924,775473,155668,311352
925,775647,155706,311428
926,775703,155714,311444
927,775759,155722,311460
928,775815,155730,311476
929,775850,155737,311490
930,775890,155745,311506
931,775930,155753,311522
932,775970,155761,311538
933,776005,155768,311552
934,776045,155776,311568
935,776085,155784,311584
936,776125,155792,311600
937,776160,155799,311614
938,776200,155807,311630
939,776240,155815,311646
940,776280,155823,311662
941,776315,155830,311676
942,776355,155838,311692
943,776395,155846,311708
944,776435,155854,311724
945,776462,155859,311734
946,776494,155867,311750
947,776526,155875,311766
948,776558,155883,311782
949,776593,155890,311796
950,776633,155898,311812
951,776673,155906,311828
952,776713,155914,311844
953,776748,155921,311858
954,776788,155929,311874
955,776828,155937,311890
956,776868,155945,311906
957,776903,155952,311920
958,776943,155960,311936
959,776983,155968,311952
960,777023,155976,311968
961,823862,165398,330813
962,823998,165422,330861
963,824081,165438,330893
964,824164,165454,330925
965,824630,165552,331121
966,824753,165576,331169
967,824834,165592,331201
968,824918,165608,331233
969,825354,165705,331427
970,825474,165729,331475
971,825557,165745,331507
972,825642,165761,331539
973,825970,165830,331677
974,826074,165850,331717
975,826155,165866,331749
976,826240,165882,331781
977,826414,165920,331857
978,826470,165928,331873
979,826526,165936,331889
980,826582,165944,331905
981,826756,165982,331981
982,826812,165990,331997
983,826868,165998,332013
984,826924,166006,332029
985,827098,166044,332105
986,827154,166052,332121
987,827210,166060,332137
988,827266,166068,332153
989,827440,166106,332229
990,827496,166114,332245
991,827552,166122,332261
992,827608,166130,332277
993,827643,166137,332291
994,827683,166145,332307
995,827723,166153,332323
996,827763,166161,332339
997,827798,166168,332353
998,827838,166176,332369
999,827878,166184,332385
1000,827918,166192,332401
1001,827953,166199,332415
1002,827993,166207,332431
1003,828033,166215,332447
1004,828073,166223,332463
1005,828108,166230,332477
1006,828148,166238,332493
1007,828188,166246,332509
1008,828228,166254,332525
1009,828259,166260,332537
1010,828291,166268,332553
1011,828323,166276,332569
1012,828355,166284,332585
1013,828390,166291,332599
1014,828430,166299,332615
1015,828470,166307,332631
1016,828510,166315,332647
1017,828545,166322,332661
1018,828585,166330,332677
1019,828625,166338,332693
1020,828665,166346,332709
1021,828700,166353,332723
1022,828740,166361,332739
1023,828780,166369,332755
1024,828820,166377,332771
